order_Quantity,customer_Name,customer_ID,order_Date,Expected_Delivery_date,delivery_Date,Actual_Delivery_Days,order_ID,order_Tailor,order_Type,Total_Amount,order_Tax,order_Discount,delivery_Type,delivery_Order_Ref,order_Delivered_Quantity,delivery_Quantity,Month,order_Tailor_Name,Expected_Delivery_Days,Tailoring_Style,size,length_cm,width_cm,sleeve_cm,fabric_meters,Price_Per_Unit,Fabric_Price_Per_Meter,Satisfaction,Dissatisfaction_Reason,Days_Difference
3,Ab*********,2162,2025-08-02,2025-08-09,2025-08-12,10.0,2727,001,Tailoring,1000.0,130.4347826086957,0.0,Recived,2727,3,3,August,Factory                                          ,7,Emirati,S,71.5,50.0,21.5,1.8,333.3333333333333,185.1851851851852,1,,10.0
4,Sa***,2241,2025-08-02,2025-08-09,2025-08-12,10.0,2724,001,Tailoring,1520.0,198.2608695652174,0.0,Recived,2724,4,4,August,Factory                                          ,7,Modern Slim Fit,S,70.0,50.0,20.5,1.8,380.0,211.1111111111111,1,,10.0
6,Ta***,2001,2025-08-02,2025-08-09,2025-08-07,5.0,2728,001,Tailoring,2640.0,344.3478260869565,0.0,Recived,2728,6,6,August,Factory                                          ,7,Saudi Classic,XL,76.5,53.5,22.5,1.95,440.0,225.6410256410256,1,,5.0
2,Hu*****,2224,2025-08-02,2025-08-09,2025-08-28,26.0,2729,001,Tailoring,600.0,78.26086956521739,0.0,Recived,2729,2,2,August,Factory                                          ,7,Emirati,XXI,78.0,58.5,24.5,2.0,300.0,150.0,0,Major Delivery Delay (19 days),26.0
2,Ab******,1141,2025-08-02,2025-08-09,2025-08-27,25.0,2730,001,Tailoring,650.0,84.78260869565217,0.0,Recived,2730,2,2,August,Factory                                          ,7,Saudi Classic,S,70.0,50.5,21.0,1.8,325.0,180.5555555555555,0,Major Delivery Delay (18 days),25.0
2,Fa**,2207,2025-08-02,2025-08-09,2025-08-02,0.0,2726,001,Tailoring,750.0,97.82608695652173,0.0,Recived,2726,0,0,August,Factory                                          ,7,Saudi Classic,L,72.5,53.0,23.5,1.9,0.0,0.0,1,,0.0
1,Ya***,1557,2025-08-03,2025-08-10,2025-08-07,4.0,2734,001,Tailoring,430.0,56.08695652173913,0.0,Recived,2734,1,1,August,Factory                                          ,7,Modern Slim Fit,XXI,77.5,58.0,24.0,2.0,430.0,215.0,1,,4.0
1,Mo*****,766,2025-08-04,2025-08-11,2025-08-11,7.0,2735,001,Tailoring,330.0,43.04347826086956,0.0,Recived,2735,1,1,August,Factory                                          ,7,Modern Slim Fit,XXI,77.0,55.5,24.0,2.0,330.0,165.0,1,,7.0
2,Mo****,2243,2025-08-04,2025-08-11,2025-08-11,7.0,2736,001,Tailoring,680.0,88.69565217391305,0.0,Recived,2736,2,2,August,Factory                                          ,7,Modern Slim Fit,L,73.0,54.5,23.0,1.9,340.0,178.9473684210526,1,,7.0
1,Fa***,12,2025-08-05,2025-08-12,2025-08-05,0.0,2740,001,Tailoring,292.5,38.15217391304348,157.5,Recived,2740,1,1,August,Factory                                          ,7,Saudi Classic,L,73.5,53.5,23.5,1.9,292.5,153.9473684210526,1,,0.0
1,Na***,2206,2025-08-05,2025-08-12,2025-08-13,8.0,2742,001,Tailoring,320.0,41.73913043478261,0.0,Recived,2742,1,1,August,Factory                                          ,7,Emirati,S,70.0,49.0,20.5,1.8,320.0,177.7777777777778,1,,8.0
1,Mo*****,1153,2025-08-05,2025-08-12,2025-08-14,9.0,2737,001,Tailoring,360.0,46.95652173913044,0.0,Recived,2737,1,1,August,Factory                                          ,7,Modern Slim Fit,L,73.0,55.0,23.0,1.9,360.0,189.4736842105263,1,,9.0
1,Ha****,1890,2025-08-05,2025-08-12,2025-08-05,0.0,2738,001,Tailoring,250.0,32.60869565217391,0.0,Recived,2738,0,0,August,Factory                                          ,7,Modern Slim Fit,XXI,76.0,56.0,24.0,2.0,0.0,0.0,1,,0.0
1,Ha****,1890,2025-08-05,2025-08-12,2025-08-05,0.0,2739,001,Tailoring,250.0,32.60869565217391,0.0,Recived,2739,0,0,August,Factory                                          ,7,Modern Slim Fit,S,71.0,51.0,20.5,1.8,0.0,0.0,1,,0.0
2,Fa***,12,2025-08-05,2025-08-12,2025-08-05,0.0,2741,001,Tailoring,456.0,59.47826086956522,304.0,Recived,2741,2,2,August,Factory                                          ,7,Saudi Classic,S,70.0,49.0,21.0,1.8,228.0,126.6666666666667,1,,0.0
2,Al******,1116,2025-08-05,2025-08-12,2025-08-17,12.0,2743,001,Tailoring,660.0,86.08695652173913,0.0,Recived,2743,2,2,August,Factory                                          ,7,Emirati,L,73.5,54.5,23.5,1.9,330.0,173.6842105263158,1,,12.0
2,Mo*****,2194,2025-08-05,2025-08-12,2025-08-22,17.0,2744,001,Tailoring,700.0,91.30434782608695,0.0,Recived,2744,2,0,August,Factory                                          ,7,Saudi Classic,L,75.0,54.5,22.5,1.9,350.0,184.2105263157895,0,Major Delivery Delay (10 days),17.0
1,Ah***,2223,2025-08-05,2025-08-12,2025-08-05,0.0,2745,001,Tailoring,400.0,52.17391304347826,0.0,Recived,2745,0,0,August,Factory                                          ,7,Saudi Classic,M,72.5,51.0,22.0,1.85,0.0,0.0,1,,0.0
1,Fa***,2244,2025-08-05,2025-08-12,2025-08-11,6.0,2746,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2746,1,1,August,Factory                                          ,7,Saudi Classic,L,73.0,54.5,22.5,1.9,350.0,184.2105263157895,1,,6.0
1,Al*,2245,2025-08-05,2025-08-12,2025-08-10,5.0,2747,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2747,1,1,August,Factory                                          ,7,Emirati,S,69.0,48.5,21.5,1.8,350.0,194.4444444444444,1,,5.0
1,Gh***,2245,2025-08-05,2025-08-12,2025-08-10,5.0,2748,001,Tailoring,250.0,32.60869565217391,0.0,Recived,2748,1,1,August,Factory                                          ,7,Saudi Classic,S,69.0,50.0,20.5,1.8,250.0,138.8888888888889,1,,5.0
2,Ah***,1764,2025-08-05,2025-08-12,2025-08-26,21.0,2749,001,Tailoring,599.9999999999999,78.26086956521738,300.0,Recived,2749,2,2,August,Factory                                          ,7,Saudi Classic,M,71.0,50.5,21.5,1.85,300.0,162.1621621621622,0,Major Delivery Delay (14 days),21.0
2,Al*,2247,2025-08-06,2025-08-13,2025-08-13,7.0,2756,001,Tailoring,800.0,104.3478260869565,0.0,Recived,2756,2,2,August,Factory                                          ,7,Modern Slim Fit,XXI,78.5,58.0,24.0,2.0,400.0,200.0,1,,7.0
4,Mo*****,2023,2025-08-06,2025-08-13,2025-08-06,0.0,2751,001,Tailoring,680.0,88.69565217391305,0.0,Recived,2751,0,0,August,Factory                                          ,7,Saudi Classic,S,70.0,49.5,21.0,1.8,0.0,0.0,1,,0.0
3,Mo*****,2023,2025-08-06,2025-08-13,2025-08-06,0.0,2752,001,Tailoring,510.0,66.52173913043478,0.0,Recived,2752,0,0,August,Factory                                          ,7,Saudi Classic,L,74.5,53.0,22.5,1.9,0.0,0.0,1,,0.0
1,Mo*****,422,2025-08-06,2025-08-13,2025-08-11,5.0,2753,001,Tailoring,300.0,39.1304347826087,0.0,Recived,2753,1,1,August,Factory                                          ,7,Saudi Classic,S,69.0,51.5,20.5,1.8,300.0,166.6666666666667,1,,5.0
2,Fa***,2246,2025-08-06,2025-08-13,2025-08-15,9.0,2754,001,Tailoring,800.0,104.3478260869565,0.0,Recived,2754,2,2,August,Factory                                          ,7,Saudi Classic,L,75.5,55.0,23.0,1.9,400.0,210.5263157894737,1,,9.0
1,Ma***,166,2025-08-06,2025-08-13,2025-08-08,2.0,2755,001,Tailoring,260.0,33.91304347826087,0.0,Recived,2755,1,0,August,Factory                                          ,7,Saudi Classic,L,75.5,53.0,23.0,1.9,260.0,136.8421052631579,1,,2.0
1,Ma***,2248,2025-08-07,2025-08-14,2025-08-09,3.0,2758,001,Tailoring,200.0,26.08695652173913,0.0,Recived,2758,0,0,August,Factory                                          ,7,Modern Slim Fit,XXXXL,80.5,59.5,25.0,2.1,0.0,0.0,1,,2.0
1,Al*,2248,2025-08-07,2025-08-14,2025-08-10,3.0,2757,001,Tailoring,200.0,26.08695652173913,20.0,Recived,2757,0,0,August,Factory                                          ,7,Modern Slim Fit,S,71.5,51.0,20.5,1.8,0.0,0.0,1,,3.0
1,Ah***,2095,2025-08-07,2025-08-14,2025-08-11,4.0,22,001,Fixing,30.0,3.91304347826087,0.0,Recived,22,1,0,August,Factory                                          ,7,Modern Slim Fit,L,74.5,55.5,23.5,1.9,30.0,15.78947368421053,1,,4.0
2,Wa****,2249,2025-08-07,2025-08-14,2025-08-18,11.0,2760,001,Tailoring,600.0,78.26086956521739,0.0,Recived,2760,2,2,August,Factory                                          ,7,Modern Slim Fit,M,73.5,53.0,22.5,1.85,300.0,162.1621621621622,1,,11.0
5,Za**,952,2025-08-07,2025-08-14,2025-08-11,4.0,2761,001,Tailoring,1770.0,230.8695652173913,0.0,Recived,2761,5,0,August,Factory                                          ,7,Modern Slim Fit,XXI,76.0,57.0,24.5,2.0,354.0,177.0,1,,4.0
2,Tu***,946,2025-08-07,2025-08-14,2025-08-22,15.0,2759,001,Tailoring,700.0,91.30434782608695,0.0,Recived,2759,2,2,August,Factory                                          ,7,Modern Slim Fit,L,73.5,54.0,23.0,1.9,350.0,184.2105263157895,0,Major Delivery Delay (8 days),15.0
1,Fa****,2252,2025-08-08,2025-08-15,2025-08-11,3.0,2767,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2767,1,1,August,Factory                                          ,7,Saudi Classic,XL,76.5,56.0,23.5,1.95,350.0,179.4871794871795,1,,3.0
1,Ib******,445,2025-08-08,2025-08-15,2025-08-15,7.0,2762,001,Tailoring,370.0,48.26086956521739,0.0,Recived,2762,1,1,August,Factory                                          ,7,Emirati,XXXXL,80.5,62.0,24.5,2.1,370.0,176.1904761904762,1,,7.0
2,Na**,1957,2025-08-08,2025-08-15,2025-08-16,8.0,2763,001,Tailoring,600.0,78.26086956521739,0.0,Recived,2763,2,2,August,Factory                                          ,7,Modern Slim Fit,L,72.5,52.5,23.5,1.9,300.0,157.8947368421053,1,,8.0
1,Ab*******,2252,2025-08-08,2025-08-15,2025-08-11,3.0,2768,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2768,1,1,August,Factory                                          ,7,Saudi Classic,XL,75.0,54.0,22.5,1.95,350.0,179.4871794871795,1,,3.0
3,Om**,2250,2025-08-08,2025-08-15,2025-08-13,5.0,2765,001,Tailoring,1000.0,130.4347826086957,20.0,Recived,2765,3,3,August,Factory                                          ,7,Modern Slim Fit,XXXXL,80.5,59.5,24.5,2.1,333.3333333333333,158.7301587301587,1,,5.0
2,Om**,1069,2025-08-08,2025-08-15,2025-08-14,6.0,2766,001,Tailoring,700.0,91.30434782608695,20.0,Recived,2766,2,2,August,Factory                                          ,7,Emirati,L,73.0,54.0,23.5,1.9,350.0,184.2105263157895,1,,6.0
1,Mo****,2011,2025-08-08,2025-08-15,2025-08-12,4.0,2764,001,Tailoring,350.0,45.65217391304348,30.0,Recived,2764,1,1,August,Factory                                          ,7,Emirati,L,73.0,55.0,23.5,1.9,350.0,184.2105263157895,1,,4.0
1,Mu****,2251,2025-08-08,2025-08-15,2025-08-29,21.0,2769,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2769,1,1,August,Factory                                          ,7,Saudi Classic,XXXXL,81.5,60.5,24.5,2.1,350.0,166.6666666666667,0,Major Delivery Delay (14 days),21.0
1,Ta***,2251,2025-08-08,2025-08-15,2025-08-29,21.0,2771,001,Tailoring,240.0,31.30434782608696,20.0,Recived,2771,1,1,August,Factory                                          ,7,Saudi Classic,XXI,77.5,56.5,24.5,2.0,240.0,120.0,0,Major Delivery Delay (14 days),21.0
4,Ab*********,599,2025-08-08,2025-08-15,2025-08-13,5.0,2772,001,Tailoring,1500.0,195.6521739130435,0.0,Recived,2772,4,4,August,Factory                                          ,7,Saudi Classic,XL,76.5,54.0,23.5,1.95,375.0,192.3076923076923,1,,5.0
1,Sa**,2254,2025-08-08,2025-08-15,2025-08-13,5.0,2773,001,Tailoring,350.0,45.65217391304348,30.0,Recived,2773,1,1,August,Factory                                          ,7,Emirati,XXXXL,80.0,61.5,25.5,2.1,350.0,166.6666666666667,1,,5.0
1,An**,2254,2025-08-08,2025-08-15,2025-08-13,5.0,2774,001,Tailoring,200.0,26.08695652173913,0.0,Recived,2774,1,0,August,Factory                                          ,7,Emirati,XXXXL,80.5,62.5,25.5,2.1,200.0,95.23809523809524,1,,5.0
1,An**,2254,2025-08-08,2025-08-15,2025-08-19,11.0,2774,001,Tailoring,200.0,26.08695652173913,0.0,Recived,2774,1,1,August,Factory                                          ,7,Saudi Classic,XL,75.5,54.5,22.5,1.95,200.0,102.5641025641026,1,,11.0
1,Kh***,2255,2025-08-08,2025-08-15,2025-08-14,6.0,2775,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2775,1,1,August,Factory                                          ,7,Saudi Classic,L,75.0,53.5,22.5,1.9,350.0,184.2105263157895,1,,6.0
4,Mu****,2251,2025-08-08,2025-08-15,,,2770,001,Tailoring,1000.0,130.4347826086957,40.0,Recived,2770,4,0,August,Factory                                          ,7,Saudi Classic,XXXXL,81.5,60.5,25.5,2.1,250.0,119.047619047619,1,,7.0
2,Ma***,2130,2025-08-09,2025-08-16,2025-08-21,12.0,2787,001,Tailoring,600.0,78.26086956521739,0.0,Recived,2787,2,2,August,Factory                                          ,7,Saudi Classic,M,73.0,52.5,22.0,1.85,300.0,162.1621621621622,1,,12.0
5,Ji*****,2079,2025-08-09,2025-08-16,2025-08-15,6.0,2780,001,Tailoring,1580.0,206.0869565217391,20.0,Recived,2780,5,5,August,Factory                                          ,7,Emirati,XL,76.5,55.0,23.5,1.95,316.0,162.051282051282,1,,6.0
1,Mo*****,2253,2025-08-09,2025-08-16,2025-08-14,5.0,2776,001,Tailoring,250.0,32.60869565217391,30.0,Recived,2776,1,1,August,Factory                                          ,7,Saudi Classic,XXXXL,82.5,62.5,25.0,2.1,250.0,119.047619047619,1,,5.0
1,Ab*******,2256,2025-08-09,2025-08-16,2025-08-13,4.0,2777,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2777,1,1,August,Factory                                          ,7,Modern Slim Fit,M,72.5,50.5,21.5,1.85,350.0,189.1891891891892,1,,4.0
2,Ry**,2131,2025-08-09,2025-08-16,2025-08-21,12.0,2786,001,Tailoring,600.0,78.26086956521739,0.0,Recived,2786,2,2,August,Factory                                          ,7,Emirati,XL,74.0,54.0,22.5,1.95,300.0,153.8461538461538,1,,12.0
4,Ji*****,2079,2025-08-09,2025-08-16,2025-08-15,6.0,2779,001,Tailoring,1500.0,195.6521739130435,30.0,Recived,2779,4,4,August,Factory                                          ,7,Saudi Classic,S,71.5,50.0,21.0,1.8,375.0,208.3333333333333,1,,6.0
4,Ji*****,2079,2025-08-09,2025-08-16,2025-08-15,6.0,2781,001,Tailoring,1200.0,156.5217391304348,100.0,Recived,2781,4,4,August,Factory                                          ,7,Saudi Classic,M,72.0,51.0,22.5,1.85,300.0,162.1621621621622,1,,6.0
4,Ji*****,2079,2025-08-09,2025-08-16,2025-08-15,6.0,2782,001,Tailoring,1240.0,161.7391304347826,0.0,Recived,2782,4,4,August,Factory                                          ,7,Saudi Classic,L,72.5,55.0,22.5,1.9,310.0,163.1578947368421,1,,6.0
4,Ji*****,2079,2025-08-09,2025-08-16,2025-08-15,6.0,2783,001,Tailoring,1240.0,161.7391304347826,0.0,Recived,2783,4,4,August,Factory                                          ,7,Modern Slim Fit,XL,74.5,54.5,23.0,1.95,310.0,158.974358974359,1,,6.0
1,Ah***,2257,2025-08-09,2025-08-16,2025-08-13,4.0,2784,001,Tailoring,200.0,26.08695652173913,30.0,Recived,2784,1,0,August,Factory                                          ,7,Saudi Classic,L,75.5,54.5,22.5,1.9,200.0,105.2631578947368,1,,4.0
1,Ah***,2257,2025-08-09,2025-08-16,2025-08-15,6.0,2784,001,Tailoring,200.0,26.08695652173913,30.0,Recived,2784,1,1,August,Factory                                          ,7,Emirati,M,71.5,53.5,22.0,1.85,200.0,108.1081081081081,1,,6.0
1,Mo*****,2194,2025-08-09,2025-08-16,2025-08-12,3.0,2785,001,Replace,0.0,0.0,0.0,Recived,2785,1,0,August,Factory                                          ,7,Saudi Classic,M,71.5,52.0,21.5,1.85,0.0,0.0,1,,3.0
3,Ib******,1566,2025-08-09,2025-08-16,2025-08-14,5.0,2778,001,Tailoring,1200.0,156.5217391304348,0.0,Recived,2778,3,3,August,Factory                                          ,7,Saudi Classic,M,72.5,53.0,22.0,1.85,400.0,216.2162162162162,1,,5.0
4,Ah***,1287,2025-08-10,2025-08-17,2025-08-17,7.0,2788,001,Tailoring,1010.0,131.7391304347826,50.0,Recived,2788,4,4,August,Factory                                          ,7,Saudi Classic,XL,75.0,56.5,22.5,1.95,252.5,129.4871794871795,1,,7.0
1,Al*,2258,2025-08-10,2025-08-17,2025-08-28,18.0,2789,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2789,1,1,August,Factory                                          ,7,Modern Slim Fit,XL,75.5,55.5,23.0,1.95,350.0,179.4871794871795,0,Major Delivery Delay (11 days),18.0
4,Al*,2240,2025-08-11,2025-08-18,2025-08-19,8.0,2795,001,Tailoring,1400.0,182.6086956521739,0.0,Recived,2795,4,4,August,Factory                                          ,7,Modern Slim Fit,XXXXL,82.5,61.0,25.0,2.1,350.0,166.6666666666667,1,,8.0
2,Fa***,2262,2025-08-11,2025-08-18,2025-08-18,7.0,2797,001,Tailoring,340.0,44.34782608695652,120.0,Recived,2797,2,2,August,Factory                                          ,7,Saudi Classic,S,71.0,49.0,21.5,1.8,170.0,94.44444444444444,1,,7.0
1,Mo*****,766,2025-08-11,2025-08-18,2025-08-18,7.0,2796,001,Tailoring,320.0,41.73913043478261,0.0,Recived,2796,1,1,August,Factory                                          ,7,Saudi Classic,M,72.5,51.5,22.5,1.85,320.0,172.972972972973,1,,7.0
2,Ja***,166,2025-08-11,2025-08-18,2025-08-16,5.0,2794,001,Tailoring,700.0,91.30434782608695,0.0,Recived,2794,2,0,August,Factory                                          ,7,Emirati,M,73.0,52.5,22.5,1.85,350.0,189.1891891891892,1,,5.0
1,Ry**,2261,2025-08-11,2025-08-18,2025-08-17,6.0,2793,001,Tailoring,380.0,49.56521739130435,0.0,Recived,2793,1,1,August,Factory                                          ,7,Saudi Classic,XXXXL,82.0,62.0,25.0,2.1,380.0,180.9523809523809,1,,6.0
1,Ab*********,166,2025-08-11,2025-08-18,,5.0,2792,001,Tailoring,380.0,49.56521739130435,0.0,Recived,2792,1,0,August,Factory                                          ,7,Saudi Classic,L,72.5,55.0,23.5,1.9,380.0,200.0,1,,7.0
2,Mo*****,2191,2025-08-11,2025-08-18,2025-08-18,7.0,2791,001,Tailoring,400.0,52.17391304347826,60.0,Recived,2791,2,2,August,Factory                                          ,7,Emirati,M,71.5,51.0,21.5,1.85,200.0,108.1081081081081,1,,7.0
2,Az***,2260,2025-08-11,2025-08-18,2025-08-18,7.0,2790,001,Tailoring,900.0,117.3913043478261,0.0,Recived,2790,2,2,August,Factory                                          ,7,Saudi Classic,XXXXL,81.5,60.0,24.5,2.1,450.0,214.2857142857143,1,,7.0
2,Sa***,1504,2025-08-12,2025-08-19,2025-08-16,4.0,2799,001,Tailoring,750.0,97.82608695652173,0.0,Recived,2799,2,2,August,Factory                                          ,7,Emirati,M,73.5,51.5,22.5,1.85,375.0,202.7027027027027,1,,4.0
2,Ab******,953,2025-08-12,2025-08-19,2025-08-16,4.0,2798,001,Tailoring,750.0,97.82608695652173,0.0,Recived,2798,2,2,August,Factory                                          ,7,Emirati,L,74.0,54.0,23.0,1.9,375.0,197.3684210526316,1,,4.0
1,Fa***,2263,2025-08-12,2025-08-19,2025-08-16,4.0,2800,001,Tailoring,300.0,39.1304347826087,0.0,Recived,2800,1,1,August,Factory                                          ,7,Saudi Classic,M,71.0,51.5,21.5,1.85,300.0,162.1621621621622,1,,4.0
2,Ab** Kh****,1568,2025-08-12,2025-08-19,2025-08-15,3.0,2801,001,Tailoring,600.0,78.26086956521739,30.0,Recived,2801,2,2,August,Factory                                          ,7,Saudi Classic,XXXXL,80.0,60.5,25.5,2.1,300.0,142.8571428571429,1,,3.0
2,Mo**,1644,2025-08-13,2025-08-20,2025-08-14,1.0,2803,001,Tailoring,750.0,97.82608695652173,0.0,Recived,2803,2,1,August,Factory                                          ,7,Saudi Classic,L,75.5,53.5,23.5,1.9,375.0,197.3684210526316,1,,1.0
1,Fa***,2264,2025-08-13,2025-08-20,2025-08-22,9.0,2802,001,Tailoring,300.0,39.1304347826087,0.0,Recived,2802,1,1,August,Factory                                          ,7,Emirati,L,73.0,53.5,23.5,1.9,300.0,157.8947368421053,1,,9.0
1,Ra**,2239,2025-08-13,2025-08-20,2025-08-17,4.0,2808,001,Tailoring,280.0,36.52173913043478,20.0,Recived,2808,1,1,August,Factory                                          ,7,Emirati,XXI,77.0,57.0,24.5,2.0,280.0,140.0,1,,4.0
2,Mo**,1644,2025-08-13,2025-08-20,2025-08-14,1.0,2803,001,Tailoring,750.0,97.82608695652173,0.0,Recived,2803,2,1,August,Factory                                          ,7,Modern Slim Fit,S,70.5,50.5,20.5,1.8,375.0,208.3333333333333,1,,1.0
1,Mo**,1644,2025-08-13,2025-08-20,2025-08-14,1.0,2805,001,Tailoring,270.0,35.21739130434783,0.0,Recived,2805,1,1,August,Factory                                          ,7,Modern Slim Fit,XL,76.0,55.5,23.0,1.95,270.0,138.4615384615385,1,,1.0
2,Mu***,2078,2025-08-13,2025-08-20,2025-08-19,6.0,2806,001,Tailoring,420.0,54.78260869565217,90.0,Recived,2806,2,2,August,Factory                                          ,7,Modern Slim Fit,XXI,76.5,56.5,23.5,2.0,210.0,105.0,1,,6.0
2,Fa***,1723,2025-08-13,2025-08-20,2025-08-17,4.0,2807,001,Tailoring,700.0,91.30434782608695,0.0,Recived,2807,2,2,August,Factory                                          ,7,Emirati,XXXXL,82.5,60.5,24.5,2.1,350.0,166.6666666666667,1,,4.0
1,Mo****,2243,2025-08-13,2025-08-20,2025-08-22,9.0,2804,001,Tailoring,400.0,52.17391304347826,0.0,Recived,2804,1,1,August,Factory                                          ,7,Emirati,XL,75.5,53.5,22.5,1.95,400.0,205.1282051282051,1,,9.0
1,Ah***,2267,2025-08-14,2025-08-21,2025-08-18,4.0,2812,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2812,1,1,August,Factory                                          ,7,Emirati,L,73.5,55.0,22.5,1.9,350.0,184.2105263157895,1,,4.0
1,Ab*******,2266,2025-08-14,2025-08-21,2025-08-17,3.0,2811,001,Tailoring,340.0,44.34782608695652,0.0,Recived,2811,1,1,August,Factory                                          ,7,Saudi Classic,XXXXL,80.5,62.0,25.5,2.1,340.0,161.9047619047619,1,,3.0
3,Ab*******,2265,2025-08-14,2025-08-21,2025-08-24,10.0,2810,001,Tailoring,600.0,78.26086956521739,90.0,Recived,2810,3,3,August,Factory                                          ,7,Saudi Classic,XXXXL,80.5,62.5,25.0,2.1,200.0,95.23809523809524,1,,10.0
1,Ab*******,2265,2025-08-14,2025-08-21,2025-08-24,10.0,2809,001,Tailoring,350.0,45.65217391304348,0.0,Recived,2809,1,1,August,Factory                                          ,7,Modern Slim Fit,L,73.0,55.5,22.5,1.9,350.0,184.2105263157895,1,,10.0
1,Ah***,2271,2025-08-15,2025-08-22,2025-08-22,7.0,2817,001,Tailoring,380.0,49.56521739130435,0.0,Recived,2817,1,1,August,Factory                                          ,7,Emirati,M,72.5,52.5,22.0,1.85,380.0,205.4054054054054,1,,7.0
1,Ya***,2272,2025-08-15,2025-08-22,2025-08-22,7.0,2818,001,Tailoring,380.0,49.56521739130435,0.0,Recived,2818,1,1,August,Factory                                          ,7,Modern Slim Fit,L,73.0,53.0,23.0,1.9,380.0,200.0,1,,7.0
3,Ab*******,7,2025-08-15,2025-08-22,2025-08-17,2.0,2813,001,Tailoring,0.0,0.0,0.0,Recived,2813,3,3,August,Factory                                          ,7,Emirati,XXI,77.5,58.5,24.5,2.0,0.0,0.0,1,,2.0
2,Kh***,2268,2025-08-15,2025-08-22,2025-08-19,4.0,2814,001,Tailoring,0.0,0.0,0.0,Recived,2814,0,0,August,Factory                                          ,7,Modern Slim Fit,XXXXL,81.5,61.0,24.5,2.1,0.0,0.0,1,,4.0
1,Mo*****,2269,2025-08-15,2025-08-22,2025-08-22,12.0,2815,001,Tailoring,0.0,0.0,0.0,Recived,2815,1,1,August,Factory                                          ,7,Saudi Classic,XL,75.5,54.5,23.0,1.95,0.0,0.0,1,,7.0
